CollectionID	sample	Box	PrepDate	BodySize	ColonySize_L	ColonySize_U	ColonySize	Sample_or_Control	Genus	Species	Number_Bees	Country	Area	Preservation	Continent	Region
451	M081	6	6/11/23	3.737	300	8000	Large	True_Sample	Tetragonisca	angustula	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
452	M087	6	6/11/23	6.152	5383	29000	XLarge	True_Sample	Tetragona	clavipes	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
456	M045	6	1/11/23	11.4	150	800	Small	True_Sample	Eomelipona	bicolor	3	Brazil	MG, Conselheiro Lafaiete	NA	South_America	Neotropics
456	M046	6	3/11/23	11.4	150	800	Small	True_Sample	Eomelipona	bicolor	3	Brazil	MG, Conselheiro Lafaiete	NA	South_America	Neotropics
456	M047	6	3/11/23	11.4	150	800	Small	True_Sample	Eomelipona	bicolor	3	Brazil	MG, Conselheiro Lafaiete	NA	South_America	Neotropics
457	M049	6	3/11/23	5.098	800	1600	Medium	True_Sample	Frieseomelitta	varia	1	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
458	M084	6	6/11/23	5.238	1200	10000	XLarge	True_Sample	Trigona	fuscipennis	4	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
458	M083	6	6/11/23	5.238	1200	10000	XLarge	True_Sample	Trigona	fuscipennis	4	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
458	M082	6	6/11/23	5.238	1200	10000	XLarge	True_Sample	Trigona	fuscipennis	4	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
458	M085	6	6/11/23	5.238	1200	10000	XLarge	True_Sample	Trigona	fuscipennis	4	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
459	M088	6	6/11/23	6.685	NA	40000	XLarge	True_Sample	Trigona	hyalinata	2	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
459	M089	6	6/11/23	6.685	NA	40000	XLarge	True_Sample	Trigona	hyalinata	2	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
461	M060	6	3/11/23	8.288	160	2500	Medium	True_Sample	Eomelipona	marginata	4	Brazil	PNN hives	NA	South_America	Neotropics
461	M057	6	3/11/23	8.293	160	2500	Medium	True_Sample	Eomelipona	marginata	4	Brazil	PNN hives	NA	South_America	Neotropics
461	M058	6	3/11/23	8.293	160	2500	Medium	True_Sample	Eomelipona	marginata	4	Brazil	PNN hives	NA	South_America	Neotropics
461	M059	6	3/11/23	8.288	160	2500	Medium	True_Sample	Eomelipona	marginata	4	Brazil	PNN hives	NA	South_America	Neotropics
464	M075	6	6/11/23	5.84	2000	3000	Large	True_Sample	Geotrigona	mombuca	3	Brazil	SP, Cassio dos Coqueiros	NA	South_America	Neotropics
464	M076	6	6/11/23	5.84	2000	3000	Large	True_Sample	Geotrigona	mombuca	3	Brazil	SP, Cassio dos Coqueiros	NA	South_America	Neotropics
464	M077	6	6/11/23	5.84	2000	3000	Large	True_Sample	Geotrigona	mombuca	3	Brazil	SP, Cassio dos Coqueiros	NA	South_America	Neotropics
467	M080	6	6/11/23	3.737	300	8000	Large	True_Sample	Tetragonisca	angustula	3	Brazil	SP, Cassio dos Coqueiros	NA	South_America	Neotropics
468	M086	6	6/11/23	6.152	5383	29000	XLarge	True_Sample	Tetragona	clavipes	2	Brazil	SP, Cassio dos Coqueiros	NA	South_America	Neotropics
469	M078	6	6/11/23	5.804	2000	7000	Large	True_Sample	Lestrimelitta	limao	3	Brazil	SP, Cassio dos Coqueiros	NA	South_America	Neotropics
472	M061	6	6/11/23	6.591	500	2500	Medium	True_Sample	Schwarziana	quadripunctata	1	Brazil	SP, Cunha/Mata Atlantica	NA	South_America	Neotropics
481	M001	2	30/10/23	4.244	1000	5000	Large	True_Sample	Tetragonula	laeviceps	2	Malaysia	Borneo, Labang	NA	Asia	Indo-Malay-Australasia
491	M020	3	1/11/23	5.44	NA	5000	Large	True_Sample	Heterotrigona	itama	5	Malaysia	Borneo, Taman	NA	Asia	Indo-Malay-Australasia
505	M024	3	1/11/23	4.992	NA	5000	Large	True_Sample	Heterotrigona	itama	5	Malaysia	Borneo, Labang	NA	Asia	Indo-Malay-Australasia
601	M184	16	8/11/23	4.571	NA	2500	Medium	True_Sample	Tetragonula	iridipennis	1	India	Kerala, Alappuzhal, 20km Cherthala, 4/12/06	NA	Asia	Indo-Malay-Australasia
613	M183	16	8/11/23	4.081	387	450	Small	True_Sample	Scaura	latitarsis	1	Bolivia	Mapiri	NA	South_America	Neotropics
628	M187	16	8/11/23	9.585	9000	12000	XLarge	True_Sample	Trigona	silvestriana	5	Colombia	3386	NA	South_America	Neotropics
629	M186	16	8/11/23	9.281	9000	12000	XLarge	True_Sample	Trigona	silvestriana	4	Colombia	3386	NA	South_America	Neotropics
632	M185	16	8/11/23	4.349	2281	4076	Large	True_Sample	Nogueirapis	mirandula	1	NA	NA	NA	NA	NA
